index,sub,group,included
0,sub-01,Control,True
1,sub-02,Control,True
3,sub-04,Control,True
4,sub-05,Experimental,True
5,sub-06,Experimental,True
6,sub-07,Experimental,True
7,sub-08,Control,True
9,sub-10,Control,True
10,sub-11,Experimental,True
11,sub-12,Control,True
13,sub-14,Experimental,True
14,sub-15,Control,True
15,sub-16,Experimental,True
17,sub-18,Experimental,True
18,sub-19,Experimental,True
23,sub-24,Experimental,True
24,sub-25,Control,True
25,sub-26,Control,True
26,sub-27,Experimental,True
27,sub-28,Control,True
28,sub-29,Experimental,True
29,sub-30,Control,True
32,sub-33,Experimental,True
34,sub-35,Control,True
35,sub-36,Control,True
36,sub-37,Control,True
37,sub-39,Experimental,True
38,sub-41,Control,True
39,sub-42,Control,True
40,sub-43,Control,True
42,sub-45,Experimental,True
45,sub-48,Experimental,True
46,sub-50,Control,True
47,sub-51,Experimental,True
48,sub-52,Experimental,True
49,sub-53,Control,True
50,sub-54,Experimental,True
51,sub-55,Control,True
52,sub-56,Experimental,True
