sub,group,included_ses-all,included_dualnback_ses-all,included_rest_ses-all,included_rest_ses-1,included_dualnback_ses-1
sub-01,Control,True,True,True,True,True
sub-02,Control,True,True,True,True,True
sub-03,,False,False,False,True,True
sub-04,Control,True,True,True,True,True
sub-05,Experimental,True,True,True,True,True
sub-06,Experimental,True,True,True,True,True
sub-07,Experimental,True,True,True,True,True
sub-08,Control,True,True,True,True,True
sub-09,,False,False,False,True,True
sub-10,Control,True,True,True,True,True
sub-11,Experimental,True,True,True,True,True
sub-12,Control,True,True,True,True,True
sub-13,Control,True,False,True,True,True
sub-14,Experimental,True,True,True,True,True
sub-15,Control,True,True,True,True,True
sub-16,Experimental,True,True,True,True,True
sub-17,,False,False,False,True,True
sub-18,Experimental,True,True,True,True,True
sub-19,Experimental,True,True,True,True,True
sub-20,Control,True,True,False,True,True
sub-21,Experimental,True,False,False,True,False
sub-22,,False,False,False,True,True
sub-23,Experimental,True,False,True,True,True
sub-24,Experimental,True,True,True,True,True
sub-25,Control,True,True,True,True,True
sub-26,Control,True,True,True,True,True
sub-27,Experimental,True,True,True,True,True
sub-28,Control,True,True,True,True,True
sub-29,Experimental,True,True,True,True,True
sub-30,Control,True,True,True,True,True
sub-31,,False,False,False,True,True
sub-32,,False,False,False,True,True
sub-33,Experimental,True,True,True,True,True
sub-34,,False,False,False,True,True
sub-35,Control,True,True,True,True,True
sub-36,Control,True,True,True,True,True
sub-37,Control,True,True,True,True,True
sub-39,Experimental,True,True,True,True,True
sub-41,Control,True,True,True,True,True
sub-42,Control,True,True,True,True,True
sub-43,Control,True,True,True,True,True
sub-44,Experimental,True,True,False,True,True
sub-45,Experimental,True,True,True,True,True
sub-46,Control,True,True,False,True,True
sub-47,Experimental,True,True,False,True,True
sub-48,Experimental,True,True,True,True,True
sub-50,Control,True,True,True,True,True
sub-51,Experimental,True,True,True,True,True
sub-52,Experimental,True,True,True,True,True
sub-53,Control,True,True,True,True,True
sub-54,Experimental,True,True,True,True,True
sub-55,Control,True,True,True,True,True
sub-56,Experimental,True,True,True,True,True
